Local,Atual,Previsao_2025
1,43.614477040816325,63.48319272412664
2,17.344945790816325,22.174303633971704
3,29.854910714285715,35.468147001321086
4,59.39492984693877,83.19046428804359
5,41.224888392857146,60.937022742185945
6,19.79233099489796,25.056576429203233
7,20.206871811224488,20.945710370975576
8,47.8336256377551,82.21284004806876
9,69.03698979591837,99.48274277233577
10,39.59064094387755,60.87837022849453
11,51.67410714285714,73.28567214866416
12,62.70328443877551,93.73375920492072
13,52.99744897959183,82.78874956674008
14,0.7513552295918368,0.6068095033776046
15,0.6417410714285714,1.9792316037677438
16,0.10562818877551021,0.0
17,1.211734693877551,0.9509854857625442
18,0.643734056122449,1.161834974952754
19,1.7598054846938775,1.0958153620534006
20,0.15545280612244897,0.35436754671676063
21,2.44140625,3.1427916695725457
22,0.6895727040816326,0.314374369851933
23,0.2989477040816326,0.0
24,0.3547512755102041,0.25873621860253593
25,0.055803571428571425,0.1359431346039628
26,0.055803571428571425,0.0
